date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2018-04-02,26238.518683768943,24914.816378502255,10478.622144566309,14803.178337820476
2018-04-04,29400.708313352672,24018.80869245674,12123.615567662473,12914.689922389976
2018-04-09,30961.15640414431,27573.144601077645,11754.59796683571,12815.559421299087
2018-04-12,24362.801932686616,28659.324521955645,12237.322104035347,16338.632627497524
2018-04-16,25962.569322022748,32777.410568658175,12298.605276990358,19827.289598593743
2018-04-18,25801.67028647011,27213.328391656672,13451.900072626297,16373.3530314386
2018-04-23,26614.057664005883,17333.177957302356,8696.404407694568,6197.936826633559
2018-04-25,30472.13704781196,18252.741222354573,9303.261458224308,6173.195529261648
2018-04-27,32894.267306631715,20343.904733535972,10344.773616871993,7391.44076645084
2018-04-30,31927.171070938326,25254.060401601044,9128.866399090148,9501.952114604028
2018-05-03,37062.53844282977,21433.712321320705,10038.214330549697,8225.693923054676
2018-05-07,39115.15928795617,23166.615505661073,11052.999711881985,8074.52048096724
2018-05-09,44763.513297178484,17465.023103460935,14565.379730370063,7185.847515398842
2018-05-10,45867.68701955884,18146.627970439455,15061.14848504846,7380.966534390767
2018-05-11,45634.06290835021,19789.892011706364,15950.053832348825,8291.917702152901
2018-05-16,49078.14273406327,20375.25105806169,16134.773991521972,8741.851065763783
2018-05-18,50941.69093220771,17297.71882014701,20728.22582037791,7210.018371196416
2018-05-21,52803.813589351084,18051.729288264825,21295.43069671617,7586.007666715965
2018-05-22,50552.927610211154,23529.542305833478,17420.35532957172,10840.163923569618
2018-05-23,44546.2353153884,29149.404758114735,15398.072726959708,12883.535467383812
2018-05-24,44206.60124213755,33337.42974203944,13559.710553979232,15150.262685887938
2018-05-25,43777.68254574769,28500.88668094785,12110.141954157101,11485.447471625383
2018-05-30,47537.73028517784,26560.989123207128,14072.986593284491,11209.534745997866
2018-05-31,48063.65479855156,22836.38939046096,14866.687237813523,9886.138429371389
2018-06-01,46861.2051477103,22149.53694692219,15411.604168512062,8754.437883717004
2018-06-04,47790.566557355654,23975.422852357617,16565.522740564946,10083.325897626244
2018-06-05,48618.21842233543,17557.46078145225,19060.528867891146,7614.557372116618
2018-06-06,48592.66419217146,17691.40674058657,19360.01676447578,7807.110383635141
2018-06-07,51925.433676961875,17095.189375914713,19686.67279455944,8255.97987288907
2018-06-08,50428.82662087118,16954.350888561927,21984.917364731446,7562.695482539153
